Aderezo italiano cremoso bajo en calorías	Aceites	40.0	2.0	6.0	2.2	0.0	560.0	0.0	4 cucharada	1
Aderezo jalapeño	Aceites	33.0	0.1	0.7	3.4	0.0	30.4	0.0	0.5 cucharada	1
Aderezo mil islas	Aceites	28.0	0.0	1.1	2.7	0.0	52.5	0.0	0.5 cucharada	1
Aderezo mil islas bajo en calorías	Azucares	96.0	0.4	9.6	6.4	0.0	0.0	0.0	4 cucharada	1
Aderezo ranch	Aceites	44.0	0.0	0.5	4.7	0.0	69.8	0.0	0.5 cucharada	1
Aderezo ranch bajo en calorías	Azucares	64.0	1.3	14.1	2.8	0.0	398.6	0.0	3 cucharada	1
Aderezo roquefort	Aceites	38.0	0.4	0.6	3.9	0.0	82.0	0.0	0.5 cucharada	1
Aderezo ruso	Aceites	37.0	0.1	0.8	3.8	0.0	65.0	0.0	0.5 cucharada	1
Aderezo ruso bajo en calorías	Azucares	65.0	0.3	12.4	1.7	0.0	390.9	0.0	3 cucharada	1
Aderezo tipo blue cheese	Aceites	38.0	0.4	0.6	3.9	0.0	82.0	0.0	0.5 cucharada	1
Aderezo tipo cesar	Aceites	33.0	0.3	0.5	3.3	0.0	92.5	0.0	0.5 cucharada	1
Aderezo tipo cesar bajo en calorías	Azucares	87.0	1.5	2.9	7.3	0.0	812.9	0.0	3 cucharada	1
Aderezo tipo francés	Aceites	32.0	0.0	1.3	3.1	0.0	102.7	0.0	0.5 cucharada	1
Aderezo tipo mil islas	Aceites	28.0	0.0	1.1	2.7	0.0	52.5	0.0	0.5 cucharada	1
Aderezo tipo ranch	Aceites	44.0	0.0	0.5	4.7	0.0	69.8	0.0	0.5 cucharaditas	1
Aderezo vinagreta casera	Aceites	45.0	0.0	0.3	5.0	0.0	0.0	0.0	2 cucharaditas	1
Aderezo vinagreta comercial	Aceites	41.0	0.0	2.7	3.3	0.0	166.7	0.0	4 cucharaditas	1
Aderezos para ensalada bajos en calorías y grasa	Azucares	40.0	0.0	8.0	0.0	0.0	1066.6	0.0	0.3333333333333333 taza	1
Agua	Condimentos	2.0	0.0	0.0	0.0	0.0	7.1	0.0	1 taza	1
Agua de coco	Frutas	65.0	1.1	16.9	0.7	0.0	0.0	529.2	1.5 taza	1
Agua mineral	Condimentos	4.0	0.0	0.0	0.0	0.0	74.6	0.0	1 lata	1
Agua quina	Azucares	42.0	0.0	11.1	0.0	0.0	16.3	0.0	0.3333333333333333 lata	1
Aguacate California	Aceites	54.0	0.7	2.1	5.3	0.0	3.7	0.0	0.3333333333333333 pieza	1
Aguacate de pellejo	Aceites	44.0	0.5	2.0	4.5	0.0	1.4	0.0	1.5 pieza	1
Aguacate florida	Aceites	60.0	0.8	4.8	4.8	0.0	2.6	0.0	0.3333333333333333 pieza	1
Aguacate hass	Aceites	54.0	0.7	2.1	5.3	0.0	3.7	0.0	0.3333333333333333 pieza	1
Aguacate mediano	Aceites	44.0	0.5	2.3	4.1	0.0	1.2	0.0	0.3333333333333333 pieza	1
Aguacate verde	Aceites	46.0	0.5	1.5	4.6	0.0	1.0	0.0	0.5 pieza	1
Aguayón	Carnes	42.0	6.3	0.0	1.9	0.0	18.9	0.0	30 g	1
Aguayón de res	Carnes	42.0	6.3	0.0	1.9	0.0	18.9	0.0	30 g	1
Agujas de res	Carnes	51.0	6.8	0.0	2.6	0.0	20.9	0.0	35 g	1
Ahuahutle seco	Carnes	43.0	7.0	0.2	0.4	0.0	0.0	0.0	11 g	1
Ajo en polvo	Condimentos	5.0	0.3	1.1	0.0	0.0	0.5	0.0	0.5 cucharadita	1
Ajonjolí	Aceites	61.0	2.7	1.0	5.7	0.0	3.9	0.0	4 cucharadita	1
Ajonjolí tostado	Aceites	75.0	2.2	3.4	6.3	0.0	5.1	0.0	5 cucharada	1
Albahaca deshidratada	Condimentos	5.0	0.2	0.9	0.0	0.0	0.0	0.0	5.5 cucharadita	1
Albahaca molida	Condimentos	5.0	0.2	0.9	0.0	0.0	0.0	0.0	1.5 cucharadita	1
Alcachofa mediana cocida	Verduras	25.0	1.4	5.7	0.2	4.1	0.0	137.3	1 pieza	1
Alcaparras	Condimentos	4.0	0.4	0.8	0.1	0.0	509.8	0.0	2 cucharada	1
Alcaravea	Condimentos	4.0	0.2	0.5	0.2	0.0	0.0	0.0	0.5 cucharadita	1
Alce crudo	Carnes	36.0	7.8	0.0	0.3	0.0	22.8	0.0	35 g	0
Alegría natural	Cereales	60.0	2.1	10.8	1.2	1.1	0.0	0.0	4 cucharadita	1
Alegría tostada	Cereales	63.0	2.2	11.7	1.3	1.6	0.0	0.0	4 cucharadita	1
Almendra	Aceites	66.0	2.7	0.5	6.6	0.0	0.5	0.0	10 pieza	1
Almendra acaramelada	Aceites	72.0	2.2	3.4	6.0	0.0	15.9	0.0	6 pieza	1
Almendra ahumada	Aceites	71.0	2.6	2.1	6.4	0.0	73.7	0.0	10 pieza	1
Almendra con chocolate	Azucares	77.0	1.4	6.6	5.6	0.0	1.4	0.0	15 g	1
Almendra deshidratada	Aceites	71.0	2.4	2.4	6.3	0.0	1.3	0.0	10 pieza	1
Almendra fileteada	Aceites	72.0	2.5	2.2	6.5	0.0	0.0	0.0	2 cucharada	1
Almendra picada	Aceites	62.0	2.1	1.8	5.2	0.0	0.0	0.0	4 cucharadita	1
Almendra tostada	Aceites	71.0	2.0	3.0	6.3	0.0	1.3	0.0	10 cucharada	1
Almeja chirla	Carnes	41.0	7.0	0.7	0.4	0.0	18.0	0.0	50 g	1
Almeja cruda mediana	Carnes	43.0	7.4	1.5	0.6	0.0	32.8	0.0	4 pieza	1
